コード,銘柄名,市場,株価,最高益連続期数,今期経常増益率,決算期,PER,PBR,利回り
8279,ヤオコー,東P,6470,34,6.1,2023.3,15.7,1.90,1.24
8771,イー・ギャラ,東P,2384,19,11.7,2023.3,41.0,6.01,1.09
2175,エスエムエス,東P,3495,19,10.0,2023.3,50.9,8.34,
4327,日本SHL,東S,2608,14,3.0,2023.9,14.1,2.69,3.45
3901,Mラインズ,東P,2599,13,20.1,2022.12,32.3,8.89,1.08
3916,DIT,東P,1702,13,12.3,2023.6,16.6,4.67,2.12
6099,エラン,東P,1089,13,7.2,2022.12,32.9,8.10,0.92
2127,日本M&A,東P,1644,13,6.7,2023.3,43.1,10.26,1.40
3064,モノタロウ,東P,2212,13,0.4,2022.12,64.4,16.49,0.61
3464,プロパティA,東P,1327,12,12.1,2023.3,6.9,1.16,2.11
4345,CTS,東P,796,12,10.5,2023.3,17.8,3.39,2.76
8096,兼松エレク,東P,4415,12,5.6,2023.3,13.9,1.97,3.62
9069,センコーHD,東P,994,12,3.4,2023.3,9.3,0.99,3.42
3371,ソフトクリエ,東P,3320,12,2.5,2023.3,16.9,3.05,1.51
3844,コムチュア,東P,2604,11,16.5,2023.3,26.9,5.80,1.69
3984,ユーザーロカ,東P,1551,11,15.7,2023.6,30.6,4.49,0.26
3939,カナミックN,東P,604,11,12.2,2022.9,44.8,12.59,0.50
3969,エイトレッド,東S,1462,11,10.7,2023.3,15.8,2.91,1.64
3003,ヒューリック,東P,1077,11,9.5,2022.12,10.4,1.25,3.90
4684,オービック,東P,22200,11,9.0,2023.3,41.9,6.50,0.99
3798,ULSグルプ,東S,2987,11,8.9,2023.3,13.6,2.40,1.44
4674,クレスコ,東P,1704,11,7.7,2023.3,10.7,1.64,2.70
9960,東テク,東P,3510,11,5.3,2023.3,9.6,1.13,4.19
7164,全国保証,東P,4865,11,4.8,2023.3,11.4,1.83,3.04
3677,システム情報,東P,965,11,1.2,2022.9,19.9,4.35,1.97
7191,イントラスト,東P,718,10,29.8,2023.3,16.8,3.35,1.88
7366,りたりこ,東P,2509,10,27.2,2023.3,61.7,14.55,
3925,ダブスタ,東P,2535,10,21.4,2023.3,24.9,10.17,1.97
3992,ニーズウェル,東P,662,10,19.9,2022.9,13.5,1.89,3.02
3288,オープンH,東P,5350,10,17.8,2022.9,8.5,2.02,2.41
4290,PI,東P,709,10,14.0,2023.3,18.5,2.43,1.41
6055,Jマテリアル,東P,1950,10,13.3,2023.3,26.7,5.36,1.03
6197,ソラスト,東P,871,10,12.8,2023.3,20.6,4.10,2.30
3484,テンポイノベ,東P,952,10,8.9,2023.3,23.0,4.79,
6050,イーガーディ,東P,2943,10,8.2,2022.9,21.7,4.81,
7734,理計器,東P,4075,10,3.2,2023.3,14.9,1.63,1.47
2742,ハローズ,東P,2957,10,0.4,2023.2,10.6,1.22,1.35
3482,ロードスター,東P,1498,9,25.7,2022.12,5.5,1.78,2.70
3937,Ubicom,東P,2291,9,20.5,2023.3,29.3,6.90,
4556,カイノス,東S,1103,9,15.8,2023.3,7.7,0.85,2.27
9068,丸全運,東P,3045,9,15.4,2023.3,6.9,0.57,2.79
3480,JSB,東P,3935,9,10.3,2022.10,10.8,1.51,0.91
4021,日産化,東P,6510,9,6.7,2023.3,22.0,4.44,2.49
